시간,월,화,수,목,금
9000915,,,,,
9150930,,,,,
9300945,,,,,12
9451000,,,,,12
10001015,,,,,12
10151030,,,,,12
10301045,,,,,12
10451100,,,,,
11001115,83,15,83,15,12
11151130,83,15,83,15,12
11301145,83,15,83,15,12
11451200,83,15,83,15,12
12001215,83,15,83,15,12
12151230,,,,,
12301245,,,,x,
12451300,,,,x,
13001315,,,,x,
13151330,,,,x,
13301345,,,,,
13451400,,,,,
14001415,43,12,43,12,
14151430,43,12,43,12,
14301445,43,12,43,12,
14451500,43,12,43,12,
15001515,43,12,43,12,
15151530,,,,,
15301545,,7,,7,
15451600,,7,,7,
16001615,,7,,7,
16151630,,7,,7,
16301645,,7,,7,
16451700,,,,,
17001715,,,7,,
17151730,,,7,,
17301745,,,7,,
17451800,,,,,
