시간,월,화,수,목,금
9000915,,,,,
9150930,,,,,
9300945,,,,,
9451000,,,,,
10001015,,,,,
10151030,,,,,
10301045,,,,,
10451100,,,,,
11001115,,7,,7,2
11151130,,7,,7,2
11301145,,7,,7,2
11451200,,7,,7,
12001215,,7,,7,
12151230,,,,,
12301245,2,28,2,28,
12451300,2,28,2,28,
13001315,2,28,2,28,
13151330,2,28,2,28,
13301345,2,28,2,28,
13451400,,,,,
14001415,5,,5,,
14151430,5,,5,,
14301445,5,,5,,
14451500,5,,5,,
15001515,5,,5,49,
15151530,,,,49,
15301545,,,83,49,
15451600,,,83,49,
16001615,,,83,49,
16151630,,,83,49,
16301645,,,83,49,
16451700,,,83,49,
17001715,,,83,49,
17151730,,,83,49,
17301745,,,83,49,
17451800,,,83,,
