시간,월,화,수,목,금
9000915,,,,,
9150930,,,,,
9300945,,,,,
9451000,,,,,
10001015,,,,,
10151030,,,,,
10301045,,,,,
10451100,,,,,
11001115,16,15,16,15,x
11151130,16,15,16,15,x
11301145,16,15,16,15,x
11451200,16,15,16,15,x
12001215,16,15,16,15,x
12151230,,,,,x
12301245,,,,,x
12451300,,,,,
13001315,,,,,
13151330,,,,,
13301345,,,,,
13451400,,,,,
14001415,,220,,220,8
14151430,,220,,220,8
14301445,,220,,220,8
14451500,,220,,220,8
15001515,,220,,220,8
15151530,,220,,220,8
15301545,,220,,220,8
15451600,,220,,220,8
16001615,,220,,220,8
16151630,,220,,220,8
16301645,,220,,220,8
16451700,,,,,
17001715,,,,,
17151730,,,,,
17301745,,,,,
17451800,,,,,
