시간,월,화,수,목,금
9000915,x,,,,x
9150930,x,,,,x
9300945,x,,,,x
9451000,x,,,,x
10001015,x,,,220,x
10151030,x,,,220,x
10301045,x,,,220,x
10451100,x,,,220,x
11001115,x,,,220,x
11151130,x,,,220,x
11301145,x,,,220,x
11451200,x,,,220,x
12001215,x,,,220,x
12151230,x,,,,x
12301245,x,,83,,x
12451300,x,,83,,x
13001315,x,10,83,,x
13151330,x,10,83,,x
13301345,x,10,83,,x
13451400,x,10,83,,x
14001415,x,10,83,,x
14151430,x,10,83,,x
14301445,x,10,83,,x
14451500,x,,83,,x
15001515,x,,83,,x
15151530,x,,,,x
15301545,x,16,16,16,x
15451600,x,16,16,16,x
16001615,x,16,16,16,x
16151630,x,16,16,16,x
16301645,x,16,16,16,x
16451700,x,16,16,16,x
17001715,x,16,16,16,x
17151730,x,16,16,16,x
17301745,x,16,16,16,x
17451800,x,16,16,16,x
