시간,월,화,수,목,금
9000915,,,,,
9150930,,,,,
9300945,,,,,
9451000,,,,,
10001015,,,,,58
10151030,,,,,58
10301045,,,,,58
10451100,,,,,58
11001115,14,,14,,58
11151130,14,,14,,58
11301145,14,,14,,58
11451200,14,,14,,58
12001215,14,,14,,58
12151230,,,,,58
12301245,,,,,58
12451300,,,,,
13001315,,10,11,,
13151330,,10,11,,
13301345,,10,11,,
13451400,,10,11,,
14001415,,10,11,,7
14151430,,10,11,,7
14301445,,10,11,,7
14451500,,,,,7
15001515,x,,10,,7
15151530,x,,10,,7
15301545,x,,10,,7
15451600,x,,10,,7
16001615,x,,10,,7
16151630,x,,10,,7
16301645,x,,10,,7
16451700,,,,,
17001715,,,,,11
17151730,,,,,11
17301745,,,,,11
17451800,,,,,11
