시간,월,화,수,목,금
9000915,,220,x,,
9150930,,220,x,,
9300945,,220,x,,
9451000,,220,x,,
10001015,,220,x,8,10
10151030,,220,x,8,10
10301045,,220,x,8,10
10451100,,,x,8,10
11001115,,,x,8,10
11151130,,,x,8,10
11301145,,,x,8,10
11451200,,,x,8,10
12001215,,,x,8,10
12151230,,,x,8,10
12301245,,,x,8,10
12451300,,,x,,
13001315,,,x,,
13151330,,,x,,
13301345,,,x,,
13451400,,,x,,
14001415,,7,x,7,7
14151430,,7,x,7,7
14301445,,7,x,7,7
14451500,,7,x,7,7
15001515,,7,x,7,7
15151530,,,x,,7
15301545,,2,x,2,7
15451600,,2,x,2,7
16001615,,2,x,2,7
16151630,,2,x,2,7
16301645,,2,x,2,7
16451700,,,x,,
17001715,,9,x,,
17151730,,9,x,,
17301745,,9,x,,
17451800,,9,x,,
