시간,월,화,수,목,금
9000915,,,,,
9150930,,,,,
9300945,,500,,500,
9451000,,500,,500,
10001015,25,500,25,500,
10151030,25,500,25,500,
10301045,25,500,25,500,
10451100,,,,,
11001115,28,,28,,
11151130,28,,28,,
11301145,28,,28,,
11451200,28,,28,,
12001215,28,,28,,
12151230,,,,,
12301245,,33,,33,
12451300,,33,,33,
13001315,43,33,x,33,
13151330,43,33,x,33,
13301345,43,33,x,33,
13451400,43,,x,,
14001415,43,,x,,
14151430,43,,x,,
14301445,43,,x,,
14451500,,,,,
15001515,,,,,
15151530,,,,,
15301545,24,,,,
15451600,24,,,,
16001615,24,,,,19
16151630,24,,,,19
16301645,24,,,,19
16451700,24,,,,19
17001715,24,,,,19
17151730,,,,,19
17301745,,,,,19
17451800,,,,,
