시간,월,화,수,목,금
9000915,,,,,#021
9150930,,,,,#021
9300945,,6,,6,#021
9451000,,6,,6,#021
10001015,,6,24,6,#021
10151030,,6,24,6,#021
10301045,,6,24,6,#021
10451100,,,24,,#021
11001115,,200,24,200,#021
11151130,,200,24,200,#021
11301145,,200,24,200,#021
11451200,,200,,200,
12001215,,200,,200,
12151230,,,,,
12301245,,28,,28,
12451300,,28,,28,
13001315,,28,,28,#021
13151330,,28,,28,#021
13301345,,28,,28,#021
13451400,,,,,#021
14001415,,,54,,#021
14151430,,,54,,#021
14301445,,,54,,#021
14451500,,,54,,
15001515,,x,54,,
15151530,,x,54,,
15301545,,x,54,,
15451600,,x,,,
16001615,,x,x,,
16151630,,x,x,,
16301645,,x,x,,
16451700,,x,x,,
17001715,,,x,,
17151730,,,x,,
17301745,,,x,,
17451800,,,,,
