시간,월,화,수,목,금
9000915,,,,,
9150930,,,,,
9300945,,,,,
9451000,,,,,
10001015,,,,,
10151030,,,,,
10301045,,,,,
10451100,,,,,
11001115,,16,,16,7
11151130,,16,,16,7
11301145,,16,,16,7
11451200,,16,,16,7
12001215,,16,,16,
12151230,,,,,
12301245,83,14,83,14,
12451300,83,14,83,14,
13001315,83,14,83,14,
13151330,83,14,83,14,
13301345,83,14,83,14,
13451400,,,,,
14001415,,,16,,
14151430,,,16,,
14301445,,,16,,
14451500,,,16,,
15001515,,,16,,
15151530,,,16,,
15301545,,14,16,14,
15451600,,14,16,14,
16001615,14,14,16,14,
16151630,14,14,16,14,
16301645,14,14,16,14,
16451700,14,,,,
17001715,14,x,x,x,x
17151730,14,x,x,x,x
17301745,14,x,x,x,x
17451800,14,x,x,x,x
