시간,월,화,수,목,금
9000915,,,,,x
9150930,,,,,x
9300945,,2,,2,x
9451000,,2,,2,x
10001015,,2,,2,x
10151030,,2,,2,x
10301045,,2,,2,x
10451100,,,,,x
11001115,,15,,15,x
11151130,,15,,15,x
11301145,,15,,15,x
11451200,,15,,15,x
12001215,,15,,15,x
12151230,,,,,x
12301245,8,28,8,28,x
12451300,8,28,8,28,x
13001315,8,28,8,28,x
13151330,8,28,8,28,x
13301345,8,28,8,28,x
13451400,,,,,x
14001415,2,,2,,x
14151430,2,,2,,x
14301445,2,,2,,x
14451500,2,,2,,x
15001515,2,,2,,x
15151530,,,,,x
15301545,3,,3,,x
15451600,3,,3,,x
16001615,3,,3,,x
16151630,3,,3,,x
16301645,3,,3,,x
16451700,,,,,x
17001715,3,,,,x
17151730,3,,,,x
17301745,3,,,,x
17451800,3,,,,x
