시간,월,화,수,목,금
9000915,,,,,
9150930,,,,,
9300945,,,,,
9451000,,,,,
10001015,,,,,
10151030,,,,,
10301045,,,,,
10451100,,,,,
11001115,43,,43,,
11151130,43,,43,,
11301145,43,,43,,
11451200,43,,43,,
12001215,43,,43,,
12151230,,,,,
12301245,43,,43,,
12451300,43,,43,,
13001315,43,,43,,
13151330,43,,43,,
13301345,43,,43,,
13451400,,,,,
14001415,,9,,9,
14151430,,9,,9,
14301445,,9,,9,
14451500,,9,,9,
15001515,,9,,9,
15151530,,,,,
15301545,3,16,3,,
15451600,3,16,3,,
16001615,3,16,3,,
16151630,3,16,3,,
16301645,3,16,3,,
16451700,,16,,,
17001715,3,16,,,
17151730,3,16,,,
17301745,3,16,,,
17451800,,16,,,
