시간,월,화,수,목,금
9000915,x,x,,x,x
9150930,x,x,,x,x
9300945,x,x,,x,x
9451000,x,x,,x,x
10001015,x,x,,x,x
10151030,x,x,,x,x
10301045,x,x,,x,x
10451100,x,x,,x,x
11001115,x,83,,83,x
11151130,x,83,,83,x
11301145,x,83,,83,x
11451200,x,83,,83,x
12001215,x,83,,83,x
12151230,x,,,,x
12301245,1,3,,3,x
12451300,1,3,,3,x
13001315,1,3,,3,x
13151330,1,3,,3,x
13301345,1,3,,3,x
13451400,,,,x,x
14001415,24,222,24,x,x
14151430,24,222,24,x,x
14301445,24,222,24,x,x
14451500,24,222,24,x,x
15001515,24,222,24,x,x
15151530,,222,,x,x
15301545,83,222,83,x,x
15451600,83,,83,x,x
16001615,83,,83,x,x
16151630,83,,83,x,x
16301645,83,,83,x,x
16451700,,,,x,x
17001715,7,,,x,x
17151730,7,,,x,x
17301745,7,,,x,x
17451800,7,,,x,x
